geo_id,geo_name,tot_pop,white_pct,black_pct,white_tot,black_tot,generic_location_based_premium,location_effect,is_in_detroit
26017286500,Census Tract 2865,1819.0,0.722,0.095,1314.0,173.0,7785.0,1.05,False
26017286600,Census Tract 2866,4991.0,0.9,0.013,4494.0,65.0,7785.0,1.05,False
26019000100,Census Tract 1,8216.0,0.934,0.006,7675.0,48.0,5666.0,0.76,False
26019000200,Census Tract 2,3065.0,0.901,0.0,2761.0,0.0,5651.0,0.76,False
26019000300,Census Tract 3,1963.0,0.938,0.004,1842.0,8.0,5653.0,0.76,False
26019000400,Census Tract 4,1845.0,0.93,0.03,1715.0,56.0,5651.0,0.76,False
26019000500,Census Tract 5,2969.0,0.905,0.006,2687.0,18.0,5684.0,0.77,False
26021000300,Census Tract 3,1360.0,0.068,0.888,93.0,1207.0,7970.0,1.07,False
26021000600,Census Tract 6,3338.0,0.09,0.831,301.0,2775.0,7970.0,1.07,False
26021000700,Census Tract 7,2936.0,0.527,0.287,1548.0,844.0,7470.0,1.01,False
26021000800,Census Tract 8,4788.0,0.851,0.054,4073.0,258.0,5042.0,0.68,False
26021000900,Census Tract 9,2102.0,0.758,0.027,1594.0,57.0,5042.0,0.68,False
26021001000,Census Tract 10,1864.0,0.91,0.005,1696.0,10.0,5042.0,0.68,False
26021001100,Census Tract 11,4173.0,0.861,0.012,3593.0,49.0,5087.0,0.69,False
26021001300,Census Tract 13,2030.0,0.873,0.035,1772.0,72.0,5042.0,0.68,False
26021001400,Census Tract 14,4350.0,0.849,0.037,3695.0,162.0,5042.0,0.68,False
26021001500,Census Tract 15,3349.0,0.818,0.021,2739.0,72.0,5042.0,0.68,False
26021001600,Census Tract 16,2389.0,0.846,0.071,2021.0,170.0,5136.0,0.69,False
26021001700,Census Tract 17,4811.0,0.888,0.015,4271.0,73.0,5042.0,0.68,False
26021001800,Census Tract 18,5117.0,0.869,0.013,4448.0,67.0,5195.0,0.7,False
26021001900,Census Tract 19,2277.0,0.749,0.04,1705.0,92.0,7470.0,1.01,False
26021002000,Census Tract 20,3326.0,0.379,0.518,1261.0,1723.0,7470.0,1.01,False
26021002100,Census Tract 21,2692.0,0.283,0.654,763.0,1760.0,7970.0,1.07,False
26021002400,Census Tract 24,1789.0,0.918,0.059,1643.0,105.0,7970.0,1.07,False
26021002500,Census Tract 25,2181.0,0.608,0.273,1326.0,596.0,7970.0,1.07,False
26021010100,Census Tract 101,3250.0,0.865,0.031,2812.0,102.0,6790.0,0.91,False
26021010200,Census Tract 102,6219.0,0.907,0.017,5641.0,107.0,6860.0,0.92,False
26021010300,Census Tract 103,4919.0,0.81,0.034,3986.0,165.0,6539.0,0.88,False
26021010400,Census Tract 104,2687.0,0.84,0.028,2256.0,75.0,6922.0,0.93,False
26021010500,Census Tract 105,2257.0,0.794,0.034,1791.0,77.0,7320.0,0.99,False
26021010600,Census Tract 106,4869.0,0.777,0.021,3785.0,100.0,7200.0,0.97,False
26021011000,Census Tract 110,2841.0,0.923,0.007,2621.0,19.0,7798.0,1.05,False
26021011100,Census Tract 111,5678.0,0.896,0.01,5088.0,56.0,7798.0,1.05,False
26021011200,Census Tract 112,2783.0,0.907,0.005,2524.0,13.0,7798.0,1.05,False
26021011300,Census Tract 113,3789.0,0.902,0.006,3416.0,21.0,7798.0,1.05,False
26021011400,Census Tract 114,2220.0,0.788,0.002,1749.0,5.0,7798.0,1.05,False
26021011500,Census Tract 115,1352.0,0.895,0.007,1210.0,9.0,7320.0,0.99,False
26021011600,Census Tract 116,1825.0,0.936,0.002,1709.0,3.0,7282.0,0.98,False
26021020100,Census Tract 201,2523.0,0.869,0.05,2192.0,126.0,7320.0,0.99,False
26021020200,Census Tract 202,5191.0,0.849,0.049,4409.0,255.0,7320.0,0.99,False
26021020300,Census Tract 203,2612.0,0.926,0.0,2420.0,0.0,7259.0,0.98,False
26021020400,Census Tract 204,4094.0,0.907,0.023,3715.0,95.0,7169.0,0.97,False
26021020500,Census Tract 205,3161.0,0.709,0.159,2240.0,502.0,7057.0,0.95,False
26021020600,Census Tract 206,3595.0,0.856,0.063,3078.0,226.0,7169.0,0.97,False
26021020700,Census Tract 207,2869.0,0.724,0.202,2076.0,580.0,7169.0,0.97,False
26021020900,Census Tract 209,3787.0,0.772,0.095,2922.0,360.0,7169.0,0.97,False
26021021000,Census Tract 210,5150.0,0.764,0.092,3936.0,476.0,7169.0,0.97,False
26021021100,Census Tract 211,1885.0,0.919,0.013,1732.0,24.0,7169.0,0.97,False
26021021200,Census Tract 212,1689.0,0.908,0.005,1533.0,9.0,7169.0,0.97,False
26021021300,Census Tract 213,4147.0,0.497,0.133,2063.0,552.0,7798.0,1.05,False
26021021400,Census Tract 214,5043.0,0.671,0.121,3386.0,608.0,6060.0,0.82,False
26023950100,Census Tract 9501,3798.0,0.916,0.0,3479.0,0.0,7431.0,1.0,False
26023950200,Census Tract 9502,3853.0,0.865,0.0,3334.0,0.0,7460.0,1.0,False
26023950300,Census Tract 9503,3705.0,0.879,0.01,3256.0,36.0,7460.0,1.0,False
26023950800,Census Tract 9508,4678.0,0.964,0.002,4508.0,9.0,7460.0,1.0,False
26023950900,Census Tract 9509,2184.0,0.988,0.0,2158.0,0.0,7460.0,1.0,False
26023951000,Census Tract 9510,2382.0,0.955,0.005,2275.0,12.0,7460.0,1.0,False
26023951100,Census Tract 9511,3208.0,0.941,0.009,3020.0,28.0,7460.0,1.0,False
26023951200,Census Tract 9512,3958.0,0.823,0.0,3256.0,0.0,7460.0,1.0,False
26023951300,Census Tract 9513,5476.0,0.748,0.126,4096.0,689.0,7460.0,1.0,False
26023951400,Census Tract 9514,4586.0,0.933,0.0,4280.0,2.0,7460.0,1.0,False
26023951500,Census Tract 9515,3390.0,0.948,0.004,3215.0,13.0,7460.0,1.0,False
26023951600,Census Tract 9516,3576.0,0.822,0.01,2940.0,35.0,7460.0,1.0,False
26025000200,Census Tract 2,3528.0,0.586,0.179,2067.0,633.0,6540.0,0.88,False
26025000300,Census Tract 3,2021.0,0.419,0.462,846.0,934.0,6540.0,0.88,False
26025000500,Census Tract 5,3573.0,0.715,0.042,2554.0,149.0,6540.0,0.88,False
26025000600,Census Tract 6,2899.0,0.515,0.276,1494.0,800.0,7546.0,1.02,False
26025000700,Census Tract 7,2838.0,0.569,0.216,1615.0,612.0,6540.0,0.88,False
26025000800,Census Tract 8,2928.0,0.595,0.22,1743.0,645.0,6540.0,0.88,False
26025000900,Census Tract 9,3502.0,0.815,0.133,2854.0,467.0,6540.0,0.88,False
26025001000,Census Tract 10,3907.0,0.373,0.435,1457.0,1699.0,6540.0,0.88,False
26025001100,Census Tract 11,4274.0,0.67,0.188,2865.0,803.0,6540.0,0.88,False
26025001200,Census Tract 12,2151.0,0.856,0.11,1841.0,237.0,6540.0,0.88,False
26025001300,Census Tract 13,4157.0,0.674,0.07,2801.0,293.0,6567.0,0.88,False
26025001400,Census Tract 14,4773.0,0.588,0.097,2808.0,463.0,6540.0,0.88,False
26025001500,Census Tract 15,6177.0,0.775,0.013,4789.0,80.0,6528.0,0.88,False
26025001600,Census Tract 16,3132.0,0.801,0.021,2509.0,67.0,6540.0,0.88,False
26025001700,Census Tract 17,4425.0,0.754,0.025,3335.0,109.0,6534.0,0.88,False
26025001800,Census Tract 18,6296.0,0.712,0.135,4482.0,850.0,6540.0,0.88,False
26025001900,Census Tract 19,4204.0,0.834,0.033,3508.0,138.0,7481.0,1.01,False
26025002000,Census Tract 20,4557.0,0.803,0.075,3661.0,342.0,6553.0,0.88,False
26025002100,Census Tract 21,1130.0,0.942,0.0,1065.0,0.0,6540.0,0.88,False
26025002200,Census Tract 22,3185.0,0.916,0.024,2916.0,77.0,6540.0,0.88,False
26025002300,Census Tract 23,3825.0,0.844,0.04,3230.0,153.0,6540.0,0.88,False
26025002400,Census Tract 24,2409.0,0.853,0.081,2055.0,195.0,6540.0,0.88,False
26025002500,Census Tract 25,3398.0,0.901,0.023,3062.0,77.0,6545.0,0.88,False
26025002600,Census Tract 26,2067.0,0.641,0.193,1325.0,398.0,6540.0,0.88,False
26025002700,Census Tract 27,6439.0,0.93,0.012,5988.0,79.0,6803.0,0.92,False
26025002800,Census Tract 28,4184.0,0.905,0.022,3788.0,93.0,6483.0,0.87,False
26025002900,Census Tract 29,2892.0,0.95,0.0,2748.0,1.0,6620.0,0.89,False
26025003000,Census Tract 30,2044.0,0.973,0.001,1989.0,2.0,6584.0,0.89,False
