company,vehicle_type,factor_circumvented,factor_name,geography_factor,geography_type,geography_factor_id,latitude,longitude,county_fips,tract_fips,block_group_fips,zip,place_name_fips,"rate_$50,000_liability",rate_basic_pip,"rate_$1,000,000_ppi",rate_$50_deductible_comprehensive,rate_$200_deductible_collision,generic_location_based_premium,location_effect
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48437,,,,,,48437,,616,2823,155,930,3485,8009,1.24
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48438,,,,,,48438,,478,2082,112,886,2550,6108,0.95
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48439,,,,,,48439,,478,2082,112,886,2550,6108,0.95
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48440,,,,,,48440,,473,2082,120,1040,3095,6810,1.06
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48441,,,,,,48441,,427,2058,104,1147,2483,6219,0.97
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48442,,,,,,48442,,507,1744,123,765,2955,6094,0.95
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48444,,,,,,48444,,473,2082,120,1040,3095,6810,1.06
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48445,,,,,,48445,,427,2058,104,1147,2483,6219,0.97
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48446,,,,,,48446,,473,2082,120,1040,3095,6810,1.06
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48449,,,,,,48449,,478,2082,112,886,2550,6108,0.95
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48450,,,,,,48450,,427,2058,104,1147,2483,6219,0.97
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48451,,,,,,48451,,478,2082,112,886,2550,6108,0.95
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48804,,,,,,48804,,366,1775,95,1443,2528,6207,0.96
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48805,,,,,,48805,,318,1404,85,738,2360,4905,0.76
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48806,,,,,,48806,,366,1775,95,1443,2528,6207,0.96
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48807,,,,,,48807,,366,1775,95,1443,2528,6207,0.96
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48808,,,,,,48808,,318,1404,85,738,2360,4905,0.76
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48809,,,,,,48809,,386,1840,97,1439,2454,6216,0.96
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48811,,,,,,48811,,366,1775,95,1443,2528,6207,0.96
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48812,,,,,,48812,,366,1775,95,1443,2528,6207,0.96
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48813,,,,,,48813,,318,1404,85,738,2360,4905,0.76
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48815,,,,,,48815,,386,1840,97,1439,2454,6216,0.96
Liberty Mutual,Auto,zip,Garaging Territory,Territory,zip,48816,,,,,,48816,,359,1568,92,831,2540,5390,0.84
