geography_factor_id,rate_bodily_injury,rate_property_damage,rate_pip,rate_collision,rate_comprehensive,rate_um_uim,generic_location_based_premium,weighted_mean,location_effect,company,vehicle_type,factor_circumvented,factor_name,geography_factor,geography_type,tract_fips,latitude,place_name_fips,longitude,county_fips,block_group_fips,zip,territory,zip_code
9779,331.79,141.37,5935.15,741.59,111.15,41.489999999999995,7302.539999999999,2903.0,0.8782121010410407,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9779,49779
9780,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9780,49780
9781,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9781,49781
9782,436.42,153.23,8924.14,799.42,140.27,48.489999999999995,10501.97,4266.0,1.2629793385274137,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9782,49782
9783,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9783,49783
9788,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9788,49788
9790,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9790,49790
9791,436.42,153.23,8924.14,799.42,140.27,48.489999999999995,10501.97,4266.0,1.2629793385274137,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9791,49791
9792,436.42,148.82,8924.14,799.42,140.27,48.489999999999995,10497.56,4266.0,1.2624489867093351,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9792,49792
9793,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9793,49793
9795,436.42,148.82,8924.14,799.42,126.92,48.489999999999995,10484.21,4265.0,1.260843499913111,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9795,49795
9796,436.42,153.23,8924.14,799.42,126.92,48.489999999999995,10488.619999999999,4265.0,1.2613738517311897,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9796,49796
9797,436.42,153.23,8924.14,799.42,126.92,48.489999999999995,10488.619999999999,4265.0,1.2613738517311897,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9797,49797
9799,436.42,153.23,8924.14,799.42,140.27,48.489999999999995,10501.97,4266.0,1.2629793385274137,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9799,49799
9801,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9801,49801
9802,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9802,49802
9805,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9805,49805
9806,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9806,49806
9807,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9807,49807
9808,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9808,49808
9812,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9812,49812
9814,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9814,49814
9815,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9815,49815
9816,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9816,49816
9817,351.34,163.31,6620.55,646.77,140.37,32.78,7955.119999999999,3188.0,0.9566921439983354,AllState,Auto,zip,Territorial Base Rate,Territory,zip,,,,,,,,9817,49817
