geo_id,tot_pop,latin_tot,white_tot,black_tot,aian_tot,asian_tot,nhpi_tot,other_tot,two_plus_tot
48165,6339.0,225.0,5815.0,100.0,19.0,64.0,2.0,0.0,114.0
48166,11569.0,328.0,10854.0,125.0,41.0,44.0,1.0,4.0,172.0
48167,21534.0,557.0,18592.0,940.0,30.0,1043.0,1.0,24.0,347.0
48168,21781.0,467.0,17561.0,650.0,23.0,2702.0,9.0,28.0,341.0
48169,20813.0,282.0,20071.0,65.0,43.0,112.0,2.0,8.0,230.0
48170,39963.0,901.0,36311.0,829.0,91.0,1275.0,6.0,34.0,516.0
48173,12700.0,458.0,11343.0,491.0,64.0,183.0,5.0,2.0,154.0
48174,31515.0,1073.0,18061.0,10686.0,156.0,473.0,12.0,40.0,1014.0
48176,21447.0,585.0,19428.0,385.0,47.0,618.0,6.0,32.0,346.0
48177,218.0,1.0,211.0,0.0,0.0,4.0,0.0,0.0,2.0
48178,29320.0,656.0,27591.0,229.0,81.0,418.0,3.0,25.0,317.0
48179,3274.0,122.0,3066.0,42.0,4.0,9.0,0.0,0.0,31.0
48180,63131.0,3209.0,47177.0,9896.0,285.0,1111.0,16.0,84.0,1353.0
48182,21708.0,540.0,20633.0,107.0,45.0,164.0,3.0,20.0,196.0
48183,43182.0,1953.0,37693.0,1770.0,163.0,938.0,2.0,25.0,638.0
48184,17643.0,602.0,13129.0,2964.0,75.0,360.0,6.0,51.0,456.0
48185,47618.0,1679.0,34429.0,8552.0,181.0,1833.0,11.0,70.0,863.0
48186,36506.0,1486.0,27414.0,5808.0,172.0,693.0,2.0,64.0,867.0
48187,49148.0,1447.0,35898.0,4561.0,106.0,5992.0,14.0,88.0,1042.0
48188,41025.0,1375.0,27267.0,4509.0,100.0,6728.0,7.0,48.0,991.0
48189,13632.0,265.0,12835.0,150.0,53.0,107.0,4.0,23.0,195.0
48190,107.0,2.0,101.0,3.0,0.0,0.0,0.0,0.0,1.0
48191,4054.0,93.0,3487.0,317.0,10.0,27.0,1.0,22.0,97.0
48192,25883.0,1312.0,23562.0,327.0,146.0,129.0,6.0,15.0,386.0
48193,15623.0,634.0,13202.0,940.0,56.0,601.0,5.0,12.0,173.0
48195,30047.0,1956.0,25389.0,1635.0,116.0,488.0,5.0,21.0,437.0
48197,61132.0,3327.0,36043.0,15900.0,213.0,3024.0,32.0,182.0,2411.0
48198,38186.0,1599.0,20554.0,13418.0,151.0,889.0,4.0,104.0,1467.0
48201,12814.0,246.0,2437.0,8916.0,69.0,775.0,3.0,25.0,343.0
48202,16603.0,289.0,1869.0,13465.0,48.0,482.0,0.0,12.0,438.0
48203,28409.0,370.0,1470.0,25847.0,77.0,103.0,7.0,29.0,506.0
48204,27997.0,298.0,296.0,26890.0,67.0,12.0,2.0,29.0,403.0
48205,44045.0,310.0,1953.0,40231.0,89.0,745.0,1.0,61.0,655.0
48206,21954.0,242.0,466.0,20800.0,56.0,19.0,0.0,35.0,336.0
48207,20252.0,209.0,1440.0,17979.0,59.0,139.0,0.0,38.0,388.0
48208,10234.0,380.0,1044.0,8535.0,46.0,40.0,3.0,13.0,173.0
48209,32262.0,22453.0,6375.0,2738.0,119.0,86.0,4.0,25.0,462.0
48210,31017.0,15089.0,6499.0,8419.0,79.0,134.0,18.0,91.0,688.0
48211,7082.0,115.0,1960.0,4546.0,19.0,160.0,0.0,8.0,274.0
48212,39038.0,565.0,14321.0,14140.0,118.0,8369.0,7.0,93.0,1425.0
48213,27712.0,160.0,516.0,26549.0,71.0,28.0,0.0,27.0,361.0
48214,22759.0,166.0,1296.0,20731.0,79.0,64.0,1.0,35.0,387.0
48215,13565.0,117.0,696.0,12394.0,48.0,44.0,0.0,14.0,252.0
48216,5645.0,1966.0,1177.0,2320.0,34.0,12.0,2.0,1.0,133.0
48217,8210.0,1019.0,467.0,6569.0,23.0,7.0,1.0,7.0,117.0
48218,7903.0,884.0,2751.0,3933.0,38.0,17.0,2.0,8.0,270.0
48219,46931.0,421.0,3078.0,42326.0,108.0,148.0,4.0,69.0,777.0
48220,22319.0,585.0,16507.0,4155.0,92.0,262.0,13.0,29.0,676.0
48221,38727.0,346.0,1365.0,36022.0,82.0,206.0,5.0,71.0,630.0
48223,25336.0,292.0,1945.0,22401.0,73.0,49.0,3.0,31.0,542.0
48224,44439.0,409.0,3358.0,39613.0,96.0,103.0,2.0,74.0,784.0
48225,14554.0,289.0,6981.0,6673.0,33.0,204.0,3.0,23.0,348.0
48226,5302.0,182.0,1446.0,3290.0,27.0,216.0,0.0,4.0,137.0
48227,45380.0,368.0,676.0,43511.0,113.0,38.0,4.0,37.0,633.0
48228,52130.0,2069.0,8075.0,40610.0,128.0,103.0,10.0,95.0,1040.0
48229,9556.0,1290.0,3505.0,4378.0,58.0,27.0,1.0,18.0,279.0
48230,16976.0,389.0,14569.0,1386.0,24.0,289.0,7.0,33.0,279.0
48233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48234,36140.0,344.0,1237.0,33822.0,95.0,63.0,4.0,56.0,519.0
48235,45063.0,331.0,468.0,43414.0,99.0,53.0,3.0,44.0,651.0
48236,30607.0,543.0,26585.0,2434.0,39.0,635.0,1.0,21.0,349.0
48237,29319.0,423.0,10806.0,16748.0,54.0,417.0,3.0,48.0,820.0
48238,31743.0,206.0,249.0,30637.0,71.0,24.0,2.0,39.0,515.0
48239,35524.0,1059.0,19696.0,13521.0,125.0,286.0,1.0,48.0,788.0
48240,17722.0,525.0,12764.0,3758.0,93.0,163.0,4.0,16.0,399.0
48242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48301,14127.0,211.0,12443.0,569.0,12.0,606.0,1.0,30.0,255.0
48302,15360.0,290.0,12131.0,1034.0,17.0,1560.0,2.0,38.0,288.0
48304,16009.0,324.0,13058.0,1146.0,13.0,1226.0,3.0,9.0,230.0
48306,26691.0,571.0,22990.0,756.0,39.0,1926.0,3.0,22.0,384.0
48307,41369.0,1443.0,32594.0,2031.0,73.0,4480.0,2.0,42.0,704.0
48309,29135.0,809.0,23753.0,1516.0,46.0,2515.0,2.0,30.0,464.0
48310,42766.0,670.0,34862.0,1979.0,58.0,3963.0,3.0,64.0,1167.0
48312,32720.0,604.0,26688.0,2550.0,75.0,2198.0,7.0,48.0,550.0
48313,33952.0,693.0,30349.0,1316.0,71.0,988.0,5.0,34.0,496.0
48314,20245.0,556.0,16837.0,793.0,42.0,1562.0,1.0,12.0,442.0
48315,26563.0,446.0,24105.0,698.0,67.0,883.0,5.0,2.0,357.0
48316,25404.0,473.0,23524.0,395.0,53.0,570.0,7.0,15.0,367.0
48317,26610.0,1041.0,22561.0,1286.0,74.0,1119.0,2.0,36.0,491.0
48320,4589.0,347.0,3852.0,200.0,13.0,74.0,0.0,13.0,90.0
48322,31265.0,421.0,21890.0,5022.0,30.0,3166.0,4.0,86.0,646.0
48323,17708.0,274.0,14419.0,1341.0,12.0,1318.0,2.0,13.0,329.0
48324,17350.0,351.0,14624.0,1090.0,18.0,941.0,1.0,29.0,296.0
48326,20298.0,1636.0,12638.0,3514.0,52.0,1870.0,7.0,21.0,560.0
48327,21559.0,1146.0,18592.0,915.0,63.0,429.0,2.0,11.0,401.0
48328,24960.0,2169.0,19905.0,1816.0,105.0,376.0,7.0,23.0,559.0
48329,25009.0,1231.0,22450.0,511.0,85.0,331.0,1.0,18.0,382.0
48331,21503.0,372.0,15798.0,2599.0,18.0,2318.0,2.0,25.0,371.0
48334,18540.0,325.0,12420.0,3781.0,17.0,1498.0,5.0,39.0,455.0
48335,22398.0,413.0,12984.0,4240.0,73.0,4239.0,4.0,45.0,400.0
48336,25486.0,599.0,18861.0,4095.0,62.0,1252.0,8.0,41.0,568.0
48340,24307.0,5840.0,8451.0,8414.0,100.0,705.0,1.0,18.0,778.0
48341,17139.0,1440.0,4357.0,10559.0,64.0,225.0,0.0,30.0,464.0
48342,18407.0,2558.0,3109.0,11624.0,79.0,441.0,1.0,21.0,574.0
48346,22567.0,1306.0,20076.0,428.0,69.0,303.0,6.0,4.0,375.0
48348,23387.0,702.0,21657.0,321.0,53.0,278.0,4.0,15.0,357.0
48350,7100.0,194.0,6669.0,82.0,12.0,68.0,0.0,4.0,71.0
48353,6481.0,138.0,6181.0,18.0,13.0,47.0,1.0,0.0,83.0
48356,8407.0,158.0,8076.0,21.0,25.0,29.0,0.0,8.0,90.0
48357,8170.0,151.0,7816.0,35.0,18.0,49.0,0.0,0.0,101.0
48359,8044.0,596.0,6721.0,355.0,28.0,192.0,6.0,5.0,141.0
48360,11651.0,365.0,10364.0,368.0,21.0,361.0,0.0,9.0,163.0
48362,15141.0,450.0,14090.0,180.0,34.0,190.0,0.0,6.0,191.0
48363,4978.0,97.0,4571.0,97.0,6.0,149.0,1.0,15.0,42.0
48367,4727.0,164.0,4433.0,24.0,15.0,32.0,0.0,6.0,53.0
48370,1685.0,21.0,1620.0,17.0,6.0,13.0,1.0,0.0,7.0
48371,23155.0,687.0,21568.0,286.0,57.0,248.0,10.0,14.0,285.0
48374,14049.0,336.0,10355.0,485.0,20.0,2592.0,0.0,8.0,253.0
48375,21801.0,614.0,15091.0,1766.0,39.0,3854.0,0.0,13.0,424.0
48377,15244.0,582.0,10329.0,1927.0,36.0,2081.0,1.0,17.0,271.0
48380,7404.0,163.0,6981.0,79.0,17.0,63.0,0.0,4.0,97.0
48381,12605.0,276.0,11873.0,85.0,39.0,127.0,4.0,28.0,173.0
48382,21945.0,416.0,20561.0,302.0,50.0,349.0,4.0,10.0,253.0
48383,12701.0,383.0,11891.0,106.0,46.0,88.0,3.0,5.0,179.0
48386,17434.0,516.0,16214.0,218.0,64.0,186.0,0.0,12.0,224.0
48390,22898.0,723.0,20250.0,620.0,52.0,807.0,2.0,24.0,420.0
48393,16111.0,861.0,12711.0,1513.0,43.0,676.0,1.0,18.0,288.0
48397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48401,1439.0,22.0,1376.0,10.0,5.0,11.0,0.0,2.0,13.0
48411,156.0,1.0,150.0,4.0,0.0,0.0,0.0,0.0,1.0
48412,5682.0,193.0,5366.0,14.0,25.0,11.0,0.0,0.0,73.0
48413,7551.0,140.0,7181.0,52.0,35.0,70.0,0.0,2.0,71.0
48414,2492.0,66.0,2384.0,7.0,10.0,6.0,0.0,1.0,18.0
48415,9471.0,302.0,8937.0,57.0,41.0,29.0,1.0,0.0,104.0
48416,5002.0,118.0,4784.0,9.0,18.0,8.0,0.0,0.0,65.0
48417,2983.0,150.0,2741.0,21.0,19.0,6.0,2.0,2.0,42.0
48418,4312.0,56.0,4181.0,2.0,19.0,13.0,3.0,1.0,37.0
48419,2740.0,85.0,2596.0,2.0,10.0,9.0,0.0,0.0,38.0
48420,22078.0,582.0,20621.0,365.0,109.0,58.0,4.0,16.0,323.0
48421,6647.0,169.0,6355.0,13.0,33.0,8.0,0.0,0.0,69.0
48422,6400.0,472.0,5810.0,18.0,30.0,8.0,3.0,2.0,57.0
48423,32708.0,1005.0,30099.0,701.0,146.0,212.0,5.0,36.0,504.0
48426,1022.0,32.0,975.0,4.0,4.0,1.0,0.0,0.0,6.0
48427,2879.0,121.0,2706.0,3.0,10.0,8.0,0.0,3.0,28.0
48428,5027.0,69.0,4876.0,4.0,14.0,21.0,0.0,0.0,43.0
48429,8944.0,184.0,8566.0,24.0,62.0,16.0,6.0,2.0,84.0
48430,36738.0,817.0,34768.0,253.0,110.0,286.0,5.0,14.0,485.0
48432,636.0,19.0,604.0,1.0,2.0,2.0,0.0,0.0,8.0
48433,26497.0,615.0,23921.0,1203.0,126.0,226.0,9.0,15.0,382.0
48434,104.0,7.0,94.0,0.0,2.0,0.0,0.0,0.0,1.0
48435,2083.0,30.0,2007.0,8.0,19.0,5.0,0.0,0.0,14.0
48436,3764.0,68.0,3606.0,19.0,18.0,8.0,0.0,3.0,42.0
48437,581.0,19.0,532.0,28.0,1.0,0.0,0.0,0.0,1.0
48438,6951.0,133.0,6685.0,43.0,15.0,28.0,2.0,0.0,45.0
48439,49209.0,1340.0,40476.0,4660.0,162.0,1558.0,11.0,43.0,959.0
48440,157.0,6.0,142.0,0.0,1.0,1.0,0.0,0.0,7.0
48441,4085.0,39.0,3950.0,8.0,15.0,29.0,0.0,2.0,42.0
48442,20669.0,642.0,18961.0,424.0,97.0,256.0,5.0,11.0,273.0
48444,9327.0,1446.0,7644.0,43.0,21.0,41.0,0.0,1.0,131.0
48445,1370.0,19.0,1328.0,1.0,8.0,9.0,0.0,0.0,5.0
48446,30749.0,882.0,28452.0,724.0,165.0,149.0,3.0,6.0,368.0
48449,3147.0,113.0,2934.0,17.0,23.0,7.0,4.0,2.0,47.0
48450,4780.0,88.0,4625.0,10.0,15.0,11.0,0.0,3.0,28.0
48451,14767.0,237.0,14090.0,62.0,76.0,73.0,8.0,9.0,212.0
48453,5146.0,166.0,4884.0,14.0,15.0,22.0,0.0,0.0,45.0
48454,1324.0,16.0,1289.0,4.0,4.0,3.0,0.0,0.0,8.0
48455,7974.0,140.0,7688.0,27.0,17.0,38.0,0.0,7.0,57.0
48456,858.0,11.0,839.0,0.0,1.0,2.0,0.0,0.0,5.0
48457,8436.0,262.0,7850.0,138.0,53.0,12.0,0.0,7.0,114.0
48458,20538.0,682.0,13889.0,5230.0,119.0,47.0,3.0,25.0,543.0
48460,2330.0,26.0,2260.0,12.0,3.0,12.0,0.0,1.0,16.0
48461,8428.0,241.0,8056.0,30.0,17.0,6.0,3.0,0.0,75.0
48462,13266.0,257.0,12594.0,96.0,42.0,139.0,3.0,6.0,129.0
48463,4627.0,70.0,4407.0,80.0,17.0,4.0,0.0,4.0,45.0
48464,2231.0,51.0,2117.0,7.0,26.0,5.0,1.0,0.0,24.0
48465,629.0,15.0,605.0,2.0,2.0,1.0,0.0,0.0,4.0
48466,1578.0,55.0,1481.0,12.0,11.0,1.0,2.0,0.0,16.0
48467,2337.0,38.0,2267.0,4.0,2.0,7.0,4.0,0.0,15.0
48468,1294.0,53.0,1214.0,2.0,12.0,1.0,0.0,0.0,12.0
48469,1245.0,18.0,1192.0,3.0,8.0,2.0,0.0,3.0,19.0
48470,784.0,9.0,753.0,17.0,0.0,0.0,0.0,0.0,5.0
48471,5745.0,196.0,5397.0,47.0,12.0,41.0,2.0,3.0,47.0
48472,1912.0,53.0,1839.0,1.0,10.0,0.0,0.0,2.0,7.0
48473,22507.0,578.0,20709.0,695.0,64.0,141.0,3.0,7.0,310.0
48475,2766.0,20.0,2722.0,5.0,4.0,2.0,0.0,2.0,11.0
48476,577.0,16.0,552.0,1.0,4.0,0.0,0.0,3.0,1.0
48502,1164.0,28.0,553.0,554.0,1.0,11.0,0.0,3.0,14.0
48503,25168.0,853.0,10413.0,12569.0,118.0,222.0,5.0,53.0,935.0
48504,30926.0,683.0,7913.0,21146.0,121.0,91.0,5.0,43.0,924.0
48505,25710.0,639.0,2566.0,21670.0,109.0,14.0,2.0,32.0,678.0
48506,30019.0,2062.0,23504.0,3112.0,223.0,116.0,3.0,21.0,978.0
48507,30607.0,1241.0,21335.0,6672.0,156.0,155.0,13.0,24.0,1011.0
48509,9470.0,306.0,8604.0,311.0,50.0,51.0,2.0,6.0,140.0
48519,7465.0,224.0,6294.0,722.0,41.0,41.0,0.0,2.0,141.0
48529,10271.0,341.0,8507.0,974.0,78.0,35.0,4.0,6.0,326.0
48532,19375.0,519.0,11528.0,6152.0,101.0,480.0,1.0,26.0,568.0
48551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48601,38406.0,4567.0,9527.0,23230.0,164.0,65.0,4.0,33.0,816.0
48602,30119.0,4399.0,18149.0,6428.0,90.0,131.0,7.0,54.0,861.0
48603,26913.0,1657.0,21297.0,2293.0,48.0,1129.0,26.0,32.0,431.0
48604,13074.0,1035.0,10385.0,1212.0,39.0,168.0,2.0,10.0,223.0
48607,1774.0,209.0,252.0,1274.0,10.0,6.0,0.0,3.0,20.0
48609,12461.0,481.0,11652.0,100.0,28.0,93.0,1.0,6.0,100.0
48610,3083.0,46.0,2925.0,8.0,47.0,16.0,0.0,0.0,41.0
48611,6554.0,142.0,6293.0,19.0,23.0,33.0,2.0,5.0,37.0
48612,9259.0,144.0,8964.0,24.0,36.0,18.0,1.0,0.0,72.0
48613,1158.0,13.0,1124.0,1.0,12.0,0.0,0.0,0.0,8.0
48614,1376.0,30.0,1328.0,2.0,7.0,1.0,0.0,0.0,8.0
48615,3058.0,125.0,2882.0,8.0,17.0,4.0,0.0,0.0,22.0
48616,7513.0,320.0,7057.0,35.0,33.0,13.0,0.0,2.0,53.0
48617,8857.0,140.0,8450.0,56.0,63.0,45.0,0.0,4.0,99.0
48618,5393.0,90.0,5165.0,11.0,31.0,8.0,1.0,3.0,84.0
48619,465.0,1.0,454.0,0.0,1.0,0.0,0.0,0.0,9.0
48621,1359.0,9.0,1329.0,0.0,6.0,2.0,0.0,0.0,13.0
48622,6491.0,86.0,6248.0,20.0,44.0,19.0,4.0,7.0,63.0
48623,13993.0,391.0,12392.0,924.0,62.0,99.0,5.0,4.0,116.0
48624,15810.0,166.0,15354.0,28.0,60.0,60.0,0.0,4.0,138.0
48625,13152.0,223.0,12505.0,73.0,83.0,36.0,3.0,1.0,228.0
48626,6078.0,162.0,5828.0,19.0,18.0,11.0,0.0,0.0,40.0
48627,141.0,2.0,134.0,0.0,2.0,0.0,0.0,0.0,3.0
48628,1938.0,14.0,1868.0,12.0,7.0,14.0,0.0,0.0,23.0
48629,7854.0,90.0,7592.0,20.0,48.0,16.0,1.0,2.0,85.0
48630,69.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0
48631,4643.0,82.0,4458.0,8.0,21.0,8.0,1.0,0.0,65.0
48632,5125.0,83.0,4900.0,14.0,48.0,0.0,1.0,1.0,78.0
48633,210.0,1.0,202.0,0.0,2.0,0.0,0.0,0.0,5.0
48634,4371.0,96.0,4201.0,11.0,26.0,8.0,1.0,0.0,28.0
48635,1573.0,11.0,1530.0,0.0,2.0,11.0,0.0,0.0,19.0
