tr2010ge,tot_pop_wt,white_tot_wt,black_tot_wt,aian_tot_wt,asian_tot_wt,nhopi_tot_wt,other_tot_wt,two_more_tot_wt,latin_tot_wt,white_pct_wt,black_pct_wt,aian_pct_wt,asian_pct_wt,nhopi_pct_wt,other_pct_wt,two_more_pct_wt,latin_pct_wt
26015010200,6014.0,5513.0,11.0,5.0,132.0,0.0,104.0,111.0,138.0,0.917,0.002,0.001,0.022,0.0,0.017,0.018,0.023
26015010300,9305.0,8364.0,129.0,0.0,26.0,23.0,0.0,473.0,290.0,0.899,0.014,0.0,0.003,0.002,0.0,0.051,0.031
26015010401,3410.0,3138.0,25.0,59.0,0.0,0.0,0.0,42.0,146.0,0.92,0.007,0.017,0.0,0.0,0.0,0.012,0.043
26015010402,5284.0,4779.0,28.0,10.0,127.0,0.0,0.0,129.0,211.0,0.904,0.005,0.002,0.024,0.0,0.0,0.024,0.04
26015010500,3345.0,3166.0,18.0,0.0,20.0,0.0,0.0,30.0,111.0,0.946,0.005,0.0,0.006,0.0,0.0,0.009,0.033
26015010600,6603.0,6276.0,111.0,0.0,0.0,0.0,0.0,61.0,155.0,0.95,0.017,0.0,0.0,0.0,0.0,0.009,0.023
26015010700,4681.0,4245.0,12.0,23.0,0.0,0.0,28.0,92.0,281.0,0.907,0.003,0.005,0.0,0.0,0.006,0.02,0.06
26015010800,3520.0,3301.0,15.0,0.0,5.0,0.0,0.0,106.0,93.0,0.938,0.004,0.0,0.001,0.0,0.0,0.03,0.026
26015011300,8476.0,7932.0,3.0,0.0,43.0,0.0,10.0,74.0,414.0,0.936,0.0,0.0,0.005,0.0,0.001,0.009,0.049
26015011400,6208.0,5801.0,11.0,19.0,0.0,0.0,0.0,259.0,118.0,0.934,0.002,0.003,0.0,0.0,0.0,0.042,0.019
26017280300,1263.0,1087.0,87.0,0.0,0.0,0.0,8.0,6.0,75.0,0.861,0.069,0.0,0.0,0.0,0.006,0.005,0.059
26017280400,2418.0,1872.0,36.0,9.0,41.0,0.0,36.0,37.0,387.0,0.774,0.015,0.004,0.017,0.0,0.015,0.015,0.16
26017280500,3092.0,2798.0,9.0,3.0,0.0,0.0,0.0,69.0,213.0,0.905,0.003,0.001,0.0,0.0,0.0,0.022,0.069
26017280600,2755.0,2059.0,145.0,0.0,0.0,0.0,0.0,108.0,443.0,0.747,0.053,0.0,0.0,0.0,0.0,0.039,0.161
26017280700,3113.0,2441.0,185.0,0.0,0.0,0.0,0.0,162.0,325.0,0.784,0.059,0.0,0.0,0.0,0.0,0.052,0.104
26017280800,3594.0,2995.0,34.0,15.0,0.0,8.0,0.0,267.0,275.0,0.833,0.009,0.004,0.0,0.002,0.0,0.074,0.077
26017280900,2897.0,2031.0,0.0,9.0,25.0,0.0,0.0,168.0,664.0,0.701,0.0,0.003,0.009,0.0,0.0,0.058,0.229
26017281000,3723.0,2960.0,97.0,0.0,29.0,47.0,29.0,181.0,380.0,0.795,0.026,0.0,0.008,0.013,0.008,0.049,0.102
26017281300,3005.0,2660.0,64.0,12.0,0.0,0.0,0.0,124.0,145.0,0.885,0.021,0.004,0.0,0.0,0.0,0.041,0.048
26017285100,3372.0,3002.0,0.0,5.0,0.0,0.0,0.0,45.0,320.0,0.89,0.0,0.001,0.0,0.0,0.0,0.013,0.095
26017285201,5683.0,5014.0,80.0,0.0,176.0,0.0,0.0,32.0,381.0,0.882,0.014,0.0,0.031,0.0,0.0,0.006,0.067
26017285202,3976.0,3642.0,11.0,0.0,0.0,0.0,0.0,141.0,182.0,0.916,0.003,0.0,0.0,0.0,0.0,0.035,0.046
26017285300,4744.0,4499.0,30.0,8.0,10.0,0.0,6.0,136.0,55.0,0.948,0.006,0.002,0.002,0.0,0.001,0.029,0.012
26017285400,3669.0,3408.0,20.0,0.0,37.0,0.0,0.0,49.0,155.0,0.929,0.005,0.0,0.01,0.0,0.0,0.013,0.042
26017285500,6786.0,6158.0,0.0,0.0,24.0,0.0,0.0,75.0,529.0,0.907,0.0,0.0,0.004,0.0,0.0,0.011,0.078
26017285600,7075.0,6728.0,39.0,3.0,1.0,0.0,0.0,92.0,212.0,0.951,0.006,0.0,0.0,0.0,0.0,0.013,0.03
26017285700,3877.0,3697.0,1.0,36.0,1.0,0.0,0.0,52.0,90.0,0.954,0.0,0.009,0.0,0.0,0.0,0.013,0.023
26017285800,5960.0,5204.0,121.0,0.0,0.0,0.0,80.0,494.0,61.0,0.873,0.02,0.0,0.0,0.0,0.013,0.083,0.01
26017285900,5089.0,4561.0,14.0,13.0,0.0,0.0,0.0,365.0,136.0,0.896,0.003,0.003,0.0,0.0,0.0,0.072,0.027
26017286000,2983.0,2641.0,52.0,0.0,114.0,0.0,0.0,110.0,66.0,0.885,0.017,0.0,0.038,0.0,0.0,0.037,0.022
26017286100,7156.0,6819.0,7.0,0.0,7.0,0.0,16.0,157.0,150.0,0.953,0.001,0.0,0.001,0.0,0.002,0.022,0.021
26017286200,5019.0,4837.0,0.0,3.0,50.0,0.0,0.0,88.0,41.0,0.964,0.0,0.001,0.01,0.0,0.0,0.018,0.008
26017286300,3356.0,3086.0,16.0,8.0,0.0,0.0,0.0,160.0,86.0,0.92,0.005,0.002,0.0,0.0,0.0,0.048,0.026
26017286400,2337.0,2257.0,2.0,4.0,0.0,0.0,20.0,27.0,27.0,0.966,0.001,0.002,0.0,0.0,0.009,0.012,0.012
26017286500,1819.0,1314.0,173.0,6.0,14.0,0.0,6.0,83.0,223.0,0.722,0.095,0.003,0.008,0.0,0.003,0.046,0.123
26017286600,4991.0,4494.0,65.0,0.0,0.0,0.0,0.0,90.0,342.0,0.9,0.013,0.0,0.0,0.0,0.0,0.018,0.069
26017990000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26019000100,8216.0,7675.0,48.0,52.0,52.0,0.0,0.0,164.0,225.0,0.934,0.006,0.006,0.006,0.0,0.0,0.02,0.027
26019000200,3065.0,2761.0,0.0,22.0,0.0,0.0,124.0,32.0,126.0,0.901,0.0,0.007,0.0,0.0,0.04,0.01,0.041
26019000300,1963.0,1842.0,8.0,43.0,0.0,0.0,21.0,44.0,5.0,0.938,0.004,0.022,0.0,0.0,0.011,0.022,0.003
26019000400,1845.0,1715.0,56.0,0.0,0.0,0.0,3.0,70.0,1.0,0.93,0.03,0.0,0.0,0.0,0.002,0.038,0.001
26019000500,2969.0,2687.0,18.0,73.0,5.0,0.0,23.0,74.0,89.0,0.905,0.006,0.025,0.002,0.0,0.008,0.025,0.03
26019990000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26021000300,1360.0,93.0,1207.0,0.0,0.0,0.0,39.0,4.0,17.0,0.068,0.888,0.0,0.0,0.0,0.029,0.003,0.012
26021000400,1861.0,183.0,1562.0,0.0,0.0,0.0,0.0,40.0,76.0,0.098,0.839,0.0,0.0,0.0,0.0,0.021,0.041
26021000500,2039.0,25.0,1962.0,0.0,0.0,0.0,0.0,37.0,15.0,0.012,0.962,0.0,0.0,0.0,0.0,0.018,0.007
26021000600,3338.0,301.0,2775.0,0.0,0.0,0.0,0.0,90.0,172.0,0.09,0.831,0.0,0.0,0.0,0.0,0.027,0.052
26021000700,2936.0,1548.0,844.0,11.0,79.0,0.0,44.0,176.0,234.0,0.527,0.287,0.004,0.027,0.0,0.015,0.06,0.08
26021000800,4788.0,4073.0,258.0,75.0,115.0,0.0,12.0,135.0,120.0,0.851,0.054,0.016,0.024,0.0,0.003,0.028,0.025
26021000900,2102.0,1594.0,57.0,0.0,253.0,0.0,0.0,51.0,147.0,0.758,0.027,0.0,0.12,0.0,0.0,0.024,0.07
26021001000,1864.0,1696.0,10.0,0.0,53.0,0.0,21.0,72.0,12.0,0.91,0.005,0.0,0.028,0.0,0.011,0.039,0.006
26021001100,4173.0,3593.0,49.0,0.0,279.0,0.0,90.0,72.0,90.0,0.861,0.012,0.0,0.067,0.0,0.022,0.017,0.022
26021001300,2030.0,1772.0,72.0,2.0,58.0,0.0,0.0,77.0,49.0,0.873,0.035,0.001,0.029,0.0,0.0,0.038,0.024
26021001400,4350.0,3695.0,162.0,32.0,110.0,0.0,0.0,128.0,223.0,0.849,0.037,0.007,0.025,0.0,0.0,0.029,0.051
26021001500,3349.0,2739.0,72.0,5.0,50.0,0.0,9.0,251.0,223.0,0.818,0.021,0.001,0.015,0.0,0.003,0.075,0.067
26021001600,2389.0,2021.0,170.0,0.0,70.0,0.0,0.0,92.0,36.0,0.846,0.071,0.0,0.029,0.0,0.0,0.039,0.015
26021001700,4811.0,4271.0,73.0,0.0,81.0,0.0,0.0,164.0,222.0,0.888,0.015,0.0,0.017,0.0,0.0,0.034,0.046
26021001800,5117.0,4448.0,67.0,0.0,191.0,0.0,0.0,365.0,46.0,0.869,0.013,0.0,0.037,0.0,0.0,0.071,0.009
26021001900,2277.0,1705.0,92.0,0.0,34.0,0.0,14.0,44.0,388.0,0.749,0.04,0.0,0.015,0.0,0.006,0.019,0.17
