bg2010ge,white_tot_wt,black_tot_wt,aian_tot_wt,asian_tot_wt,other_tot_wt,latin_tot_wt,tot_pop_wt,white_pct_wt,black_pct_wt,aian_pct_wt,asian_pct_wt,other_pct_wt,latin_pct_wt
260050311006,897.0,16.0,0.0,9.0,0.0,43.0,965.0,0.93,0.017,0.0,0.009,0.0,0.045
260050312001,1180.0,300.0,0.0,0.0,19.0,21.0,1520.0,0.776,0.197,0.0,0.0,0.012,0.014
260050312002,1070.0,36.0,0.0,26.0,0.0,196.0,1328.0,0.806,0.027,0.0,0.02,0.0,0.148
260050312003,1621.0,0.0,0.0,75.0,0.0,51.0,1747.0,0.928,0.0,0.0,0.043,0.0,0.029
260050312004,726.0,0.0,0.0,0.0,0.0,79.0,805.0,0.902,0.0,0.0,0.0,0.0,0.098
260050313001,1136.0,3.0,0.0,69.0,0.0,0.0,1208.0,0.94,0.002,0.0,0.057,0.0,0.0
260050313002,2287.0,16.0,17.0,10.0,0.0,45.0,2375.0,0.963,0.007,0.007,0.004,0.0,0.019
260050313003,1170.0,0.0,0.0,5.0,0.0,0.0,1175.0,0.996,0.0,0.0,0.004,0.0,0.0
260050318001,1299.0,20.0,0.0,0.0,0.0,58.0,1377.0,0.943,0.015,0.0,0.0,0.0,0.042
260050318002,1653.0,0.0,0.0,16.0,0.0,34.0,1703.0,0.971,0.0,0.0,0.009,0.0,0.02
260050318003,1103.0,8.0,0.0,0.0,0.0,31.0,1142.0,0.966,0.007,0.0,0.0,0.0,0.027
260050318004,793.0,10.0,0.0,0.0,0.0,0.0,803.0,0.988,0.012,0.0,0.0,0.0,0.0
260050319001,677.0,0.0,0.0,0.0,0.0,0.0,677.0,1.0,0.0,0.0,0.0,0.0,0.0
260050319002,577.0,0.0,0.0,0.0,347.0,78.0,1002.0,0.576,0.0,0.0,0.0,0.346,0.078
260050319003,1540.0,1.0,0.0,26.0,0.0,165.0,1732.0,0.889,0.001,0.0,0.015,0.0,0.095
260050319004,972.0,0.0,0.0,30.0,0.0,12.0,1014.0,0.959,0.0,0.0,0.03,0.0,0.012
