LOCATION ZONE,Bodily Injury,Property Damage,PIP,NON MED,Collision,Comprehensive,UM - Single Car,UM - Multi Car,UIM - Single Car,UIM - Multi Car
N4331250W08541750,383.99,92.47,"2,475.78",256.21,284.80,41.24,19.68,19.68,26.19,26.19
N4331250W08540250,382.35,90.71,"2,551.08",264.00,284.73,42.01,19.68,19.68,26.19,26.19
N4331250W08538750,377.44,85.48,"2,775.79",287.25,284.50,44.32,19.68,19.68,26.19,26.19
N4331250W08537250,376.70,84.69,"2,809.62",290.75,284.47,44.66,19.68,19.68,26.19,26.19
N4331250W08535750,376.70,84.69,"2,809.62",290.75,284.47,44.66,19.68,19.68,26.19,26.19
N4331250W08534250,376.70,84.69,"2,809.62",290.75,284.47,44.66,19.68,19.68,26.19,26.19
N4331250W08532750,376.70,84.69,"2,809.62",290.75,284.47,44.66,19.68,19.68,26.19,26.19
N4331250W08531250,376.70,84.69,"2,809.62",290.75,284.47,44.66,19.68,19.68,26.19,26.19
N4331250W08529750,377.45,83.84,"2,780.61",287.75,284.62,44.20,19.68,19.68,26.19,26.19
N4331250W08528250,379.25,80.61,"2,698.20",279.22,284.35,42.97,19.68,19.68,26.19,26.19
N4331250W08526750,372.94,76.04,"2,813.42",291.15,276.86,45.44,19.68,19.68,26.19,26.19
N4331250W08525250,367.10,72.18,"2,923.82",302.57,270.12,47.76,19.68,19.68,26.19,26.19
N4331250W08523750,367.65,72.17,"2,910.18",301.16,270.22,47.63,19.68,19.68,26.19,26.19
N4331250W08522250,371.88,72.30,"2,805.86",290.36,271.16,46.64,19.68,19.68,26.19,26.19
N4331250W08520750,370.35,72.25,"2,843.61",294.27,270.82,47.00,19.68,19.68,26.19,26.19
N4331250W08519250,367.08,72.15,"2,924.09",302.60,270.09,47.77,19.68,19.68,26.19,26.19
N4331250W08517750,367.08,72.15,"2,924.09",302.60,270.09,47.77,19.68,19.68,26.19,26.19
N4331250W08516250,367.08,72.15,"2,924.09",302.60,270.09,47.77,19.68,19.68,26.19,26.19
N4331250W08514750,367.08,72.15,"2,924.09",302.60,270.09,47.77,19.68,19.68,26.19,26.19
N4331250W08513250,367.08,72.15,"2,924.09",302.60,270.09,47.77,19.68,19.68,26.19,26.19
N4331250W08511750,367.08,72.15,"2,924.09",302.60,270.09,47.77,19.68,19.68,26.19,26.19
N4331250W08510250,367.08,72.15,"2,924.09",302.60,270.09,47.77,19.68,19.68,26.19,26.19
N4331250W08508750,367.08,72.15,"2,924.09",302.60,270.09,47.77,19.68,19.68,26.19,26.19
N4331250W08507250,367.08,72.15,"2,924.09",302.60,270.09,47.77,19.68,19.68,26.19,26.19
N4331250W08505750,367.08,72.15,"2,924.09",302.60,270.09,47.77,19.68,19.68,26.19,26.19
N4331250W08504250,367.08,72.15,"2,924.09",302.60,270.09,47.77,19.68,19.68,26.19,26.19
N4331250W08502750,367.08,72.15,"2,924.09",302.60,270.09,47.77,19.68,19.68,26.19,26.19
N4331250W08501250,367.08,72.15,"2,924.09",302.60,270.09,47.77,19.68,19.68,26.19,26.19
N4331250W08499750,367.08,72.15,"2,924.09",302.60,270.09,47.77,19.68,19.68,26.19,26.19
N4331250W08498250,367.08,72.15,"2,924.09",302.60,270.09,47.77,19.68,19.68,26.19,26.19
N4331250W08496750,369.41,67.06,"2,644.43",273.66,271.52,45.04,19.68,19.68,26.19,26.19
N4331250W08495250,372.42,60.47,"2,283.14",236.27,273.37,41.52,19.68,19.68,26.19,26.19
N4331250W08493750,372.41,60.49,"2,284.45",236.41,273.37,41.53,19.68,19.68,26.19,26.19
N4331250W08492250,374.07,69.28,"2,448.00",253.33,271.11,42.08,19.68,19.68,26.19,26.19
N4331250W08490750,374.95,68.60,"2,396.01",247.95,271.73,40.08,19.68,19.68,26.19,26.19
N4331250W08489250,375.07,58.73,"2,135.99",221.04,275.13,35.65,19.68,19.68,26.19,26.19
N4331250W08487750,375.51,70.97,"2,442.14",252.73,271.31,39.59,19.68,19.68,26.19,26.19
